,dog,height,weight,life,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,color,marking,health,grooming,excercise,training,nutrition
258,thai-ridgeback,~20-24 inches,~35-75 pounds,12-13 years,5,3,3,3,1,1,Smooth,Short,3,4,5,3,4,4,3,4,,Black-Blue-Red-Yellow,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Hip dysplasia, though rare, can occur in the Thai Ridgeback. More common is the Dermoid Sinus Cyst. Some dogs may be faced with these health challenges in their lives, but the majority of Thai Ridgebacks are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Thai Ridgeback's coat is short, hard, and straight, therefore, occasional brushing to wipe away loose hair is all that is needed. More frequent brushing may be needed when he is shedding, which occurs only once or twice yearly. Due to the absence of an undercoat, people with dog-dander allergies may find that the Ridgeback bothers them less than other breeds.



 Beyond regular grooming, the occasional bath will keep your Thai Ridgeback clean and looking his best. Grooming can be a wonderful bonding experience for you and your dog. The strong, fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Options for exercise include play time in the backyard, preferably fenced, or taken for walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or teaching them new tricks. Certain outdoor activities like swimming, hiking, retrieving balls or flying discs can provide a good outlet for expending energy. If you live in an apartment, even short walks in the hallways can give your dog some exercise, especially during inclement weather. Training for dog sports like agility, obedience and rally can also be a great way to give your dog exercise.","Naturally protective and reserved with strangers, Thai Ridgebacks would do best with proper socialization and training. An experienced owner/handler in dog behavior is required as this breed can be very independent."
259,tibetan-mastiff,~minimum 26 inches (male)~minimum 24 inches (female),~90-150 pounds (male)~70-120 pounds (female),10-12 years,4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4,147 of 1,Black-Black & Tan-Brown-Cream-Red Gold-Brown & Tan-Blue Gray-Cream Sable-Red Gold Sable-Blue Gray & Tan,White Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Tibetan Mastiff is a relatively healthy breed, and responsible breeders will screen their stock for health conditions such as elbow and hip dysplasia, hypothyroidism, and eye anomalies including entropion and ectropion. Seizures have been reported, but the issue is not prevalent in the breed.","Tibetan Mastiffs are double coated, with a heavy, wooly undercoat and coarse guard hair. They have a low-maintenance coat that requires minimal grooming during the majority of the year. A weekly brushing with a slicker or a long pin brush to remove surface dirt and the use of a wide-tooth comb on the tail, mane, and breeches to remove tangles are all that is required. TMs 'blow' their undercoat once a year in a massive shedding in late spring or summer. During this time, it is best to use an undercoat rake or de-shedding tool. According to the breed standard, TMs are to be shown naturally; no clipping or trimming is acceptable except to shape the feet and to give a clean appearance to the hocks.","Tibetan Mastiffs need daily moderate exercise, but it does not need to be in the form of an organized activity. TMs prefer to focus on work-related tasks, such as patrolling their territory, rather than structured play, such as chasing a flying disc or playing fetch. They are more active in cooler weather. They tend to conserve energy until needed, exhibiting only short bursts of activity, and lack endurance. They make good throw-rugs in winter, and air-conditioner vent covers in summer!","Tibetan Mastiffs do not respond well to traditional obedience training. They are highly intelligent, learn quickly, and do not feel the need to repeat what they already know. They will do what their owners ask of them  they respect and trust their judgment'¿but if there is ever a question, the TM will follow his instincts over training. In general the breed is not food driven, and they do not reliably respond to treats as a training tool. They are also notorious for performing impeccably in class and then completely ignoring all commands when they are once again at home. They do not have reliable recall and should never be trusted off leash."
260,tibetan-spaniel,~10 inches,~9-15 pounds,12-15 years,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3,125 of 1,Black-Black & Tan-Cream-Gold-Red-Sable-White-Silver Sable,White Markings-Parti-Color,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Tibetan Spaniels are a relatively health breed, and responsible breeders screen their stock for health conditions such as progressive retinal atrophy (a genetic eye disease); 'cherry eye,' an inflammation of tissue adjacent to the eye that often is corrected surgically; and patellar luxation. Before going to their new homes, puppies should be checked for portosystemic shunt (liver shunt), in which the blood flow around and/or through the liver is affected.","Whether show or pet, the Tibetan Spaniel is a natural breed that does not require trimming except for the hair on the bottom of their feet, for cleanliness. The area behind the ears tends to mat and should be combed frequently, but otherwise the breed's coat does not tend to mat. A regular brushing and bath will keep the coat in good condition, with attention also given to the rear fringes, which can use a regular combing. Tibetan Spaniels do shed, and can do a good shed any time of the year. A bath and conditioning can help at this time. If the Tibbie is taken to a groomer, they should be advised to not cut the hair on the belly or between the legs. Many groomers regularly do a 'sanitary cut' unless the owner advises them not to. Tibetan Spaniels will lick and itch badly if a sanitary cut is done. Nails should be trimmed as puppies, training the Tibbie to get used to regular nail trimming. They can be very bad about their nails unless worked with early.","A daily walk is always enjoyable to a Tibetan Spaniel. They are as happy lying around the house as they are taking a long run in the yard. A fenced yard is a must. They are a great breed for owners who would like a dog to accompany them on long walks or jogs, as they are able to keep up with their human partner.","Tibetan Spaniels are smart and eager to please, and can excel in canine activities such as agility, scent work, rally, and obedience. They have a very independent mind, however, and will decide if and when they will do what is asked of them, so an early start to training is needed, and it should be a fun and enjoyable time. Socialization in puppyhood is a must as well."
261,tibetan-terrier,~14-17 inches,~18-30 pounds (male),15-16 years,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4,112 of 1,Black-Black & Brindle-Black & Brown-Black & White-Black & White Brindle-Black Brown & White-Black White & Gold-Brindle-Brindle & White-Brown-Brown & White-Fawn-Fawn & White-Gold-Gold & White-Golden Brindle-Gray-Gray & White-Red-Red & White-Red Brindle-Sable-Sable & White-Silver-Silver & Black-Silver & White-White-White & Black-White & Gold-Black & Gold,Ticked-Black Points-White Markings-Black Markings-Black Mask-Sable,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","TTs can be a hardy, healthy breed that ages gracefully. But just as second-generation immigrants to Western countries succumb to Western diseases, the same phenomenon might be linked to the shift in TT health issues due to environmental changes in diet and lifestyle from its country of origin. Early spay and neuters can predispose dogs to joint issues. Many breeders request that the dog reach maturity before altering. Geriatric heart murmurs and cataracts are not uncommon in aging TTs. Occasionally senior TTs are struck with vestibular disease, which is fortunately something from which they can recover. Cancer is an increasing concern in aging TTs. Responsible breeders screen their stock for health conditions such as allergies, thyroid issues, bladder stones, periodontal disease, hip and patella issues. Genetic tests (such as for NCL, LL, PRA, etc.) are a valuable tool used by breeders to eliminate the expression of those diseases in their puppies.","Prospective TT owners may mistakenly think this is not the dog for them based upon the manicured, flowing coats seen on televised dog shows. But there's an agile, versatile dog underneath with a multi-purpose coat suited for everyday life. TTs have a double coat, the undercoat being wool, resistant to moisture and a natural insulator. Coat textures can vary from softer to harder to more or less prone to matting. The natural coat of the breed can stand up to most anything nature can dish out. It may be convenient to keep the dog in a puppy cut if a full coat hinders desired outdoor adventures. That being said, the real benefit of grooming a TT is that it strengthens the bond in relationship, is great training, and is a way to monitor the dog's health. It may come as a surprise how enjoyable grooming can be.","TTs love to take walks and be outdoors with their people. Individuals within the breed may have more or less drive for exercise. A good breeder will be able to place match each prospective owner with a compatible dog. If you want to hike up a mountain, there's a TT for that. If you're more of a homebody and simply walk around the block or take the stairs a couple times a day, there's a TT for that. Many TTs enjoy a post in the house where they can look out a window or door and perform sentry duty for their household. If this spot is an overlook like a stair landing or balcony, all the better.","This is an independent-minded breed that is quick to learn and will wither under obsessive repetition or harsh methods. Training practices that allow the dog to choose the right behavior are recommended. Clicker-training instruction is widely available, and both human and dog will enjoy the developing partnership from training together. TTs are enthusiastic students who love working closely with their owner (in things such as agility, rally, and nose work) and performing jobs that contribute to the household. They seek companionship based on mutual cooperation, trust, and respect. They have great capacity for love and devotion to their people."
262,tornjak,~23-28 inches,~62-110 pounds,12-14 years,5,3,1,4,2,3,Double,Medium,3,3,5,3,3,3,3,3,,White,Black Markings-Black & Tan Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Tornjaks are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","Beyond regular weekly grooming, the occasional bath will keep your Tornjak clean and looking his best. Grooming can be a wonderful bonding experience for you and your dog. The strong, fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Options for exercise include play time in the backyard, preferably fenced, or walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or learning new tricks. Certain outdoor activities like swimming, hiking, or retrieving balls or flying discs can provide a good outlet for expending energy. If you live in an apartment, even short walks in the hallways can give your dog some exercise, especially during inclement weather. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.","The Tornjak learns quickly and keeps the information in his memory for a long time, gladly performing tasks assigned to him. As a result, he is easy to train."
263,tosa,~Minimum 21.5-23.5 inches,~100-200 pounds,10-12 years,5,3,1,2,1,3,Smooth-Double,Short,1,3,5,3,3,3,3,4,,Black-Brindle-Fawn-Red,White Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Tosas are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Tosa's short, dense coat requires little grooming, and the occasional brushing will suffice. Beyond that, the occasional bath will keep them clean and looking their best. Their strong, fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Tosas are, by nature, a rather calm breed, though even low-energy breeds need some exercise in order to maintain a healthy weight and get mental stimulation. Options for exercise could include run time in the backyard, preferably fenced, or being taken for walks. Exercise can also come in the form of indoor activities like chasing a ball rolled along the floor or learning new tricks. Certain outdoor activities like hiking or retrieving balls can provide a good outlet for expending energy, too. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.",The Tosa responds best to positive-reinforcement training methods because of his inherent desire to please his owner.
264,toy-fox-terrier,~8.5-11.5 inches,,13-15 years,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4,110 of 1,"White & Black-White & Tan-White Black & Tan-White & Chocolate-White, Chocolate & Tan",,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Obesity is a serious issue for Toy Fox Terriers. Healthy diet and exercise are a must. Responsible breeders will screen their stock for health conditions such as patellar luxation and eye disease.  The dog's anal glands must be checked often, and the teeth need to be cared for regularly.","The Toy Fox Terrier requires minimal grooming. Shedding is helped along by using a small shedding comb or a gentle hound glove. The breed needs only an occasional bath. The owner should start grinding or trimming the pup's toenails at a young age if possible, so that he will be accustomed to the procedure.","Quick, alert, and athletic, Toy Fox Terriers like running and romping. They enjoy walking, running, and hiking outdoors when they have the chance. On 'days off,' they are happy to run laps in the living room! Kids especially are charmed by the unending energy and zeal for play throughout this dog's life, but as with all toy breeds, they are not recommended for small children. Their small size makes them ideal for an apartment, although they love to explore the outdoors.","Early socialization and puppy training classes are recommended for all dogs and help to ensure that the Toy Fox Terrier grows into a well-adjusted, well-mannered companion. Housebreaking can involve just training the puppy to go outside, or it can include training him the use of a potty pad indoors, which can be very helpful for travel or during inclement weather conditions. Toy Fox Terriers are content and capable of any range of activities from hunting, to obedience, to just lounging around in the sun (or on the sofa). They are naturally extroverted and highly intelligent, which makes training, including housetraining, a breeze."
265,transylvanian-hound,~22-26 inches,~Minimum 55 pounds,10-14 years,5,5,5,3,2,3,Smooth,Short,4,5,5,4,4,5,4,5,,Black & Tan-Black Tan & White-Red & White,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Transylvanian Hounds are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The Transylvanian Hound's short hair does not require any special care. Brushing once a week with a strong bristle blade should suffice. The elongated and loosened hairs can be rubbed with a rubber coat glove. The strong, fast-growing nails should be trimmed regularly and kept short with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked occasionally to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed when needed.","The Transylvanian Hound is a very active breed. Plan for at least an hour-long walk or run daily. Remember that the urge to chase game may be more powerful than the attachment to his master. For this reason, walking without a leash is not advisable and off-leash romps must be in areas that are securely enclosed. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.","The Transylvanian Hound is primarily a hunting dog who can hardly resist his ancient instincts, so it is very important to train him appropriately. Patience and perseverance are required. The Transylvanian Hound is sensible enough to understand what his handlers want from him; he just may not agree with it. Education should be consistent and clear, but not for long periods of time. Hard training methods are not recommended."
266,treeing-tennessee-brindle,~16-24 inches,~30-50 pounds,10-12 years,5,3,5,2,2,3,Smooth,Short,3,3,3,3,3,3,5,4,,Black-Brindle,White Markings-Brindle Trim,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Some dogs may be faced with health challenges in their lives, but the majority of Treeing Tennessee Brindles are healthy dogs. Working with a responsible breeder, prospective owners can gain the education they need to learn about specific health concerns within the breed.","The breed's short-haired, smooth coat requires weekly brushing with a soft bristle brush or hound glove. Beyond regular weekly grooming, the occasional bath will keep your Treeing Tennessee Brindle clean and looking his best. Grooming can be a wonderful bonding experience for you and your dog. The strong fast-growing nails should be trimmed regularly with a nail clipper or grinder to avoid overgrowth, splitting, and cracking. The ears should be checked regularly to avoid a buildup of wax and debris, which can result in infection. Teeth should be brushed regularly.","Treeing Tennessee Brindles need regular exercise to keep them healthy and fit, both physically and mentally. Options for exercise include play time in the backyard, preferably fenced, or going for walks several times a day. Exercise can also come in the form of indoor activities, like hide-and-seek, chasing a ball rolled along the floor, or learning new tricks. Certain outdoor activities like swimming, hiking, or retrieving balls or flying discs can provide a good outlet for expending energy. Training for dog sports like agility, obedience, and rally can also be a great way to give your dog exercise.",
267,treeing-walker-coonhound,~22-27 inches (male)~20-25 inches (female),~50-70 pounds,12-13 years,5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5,151 of 1,Black-White-Tri-Colored,"Blanket-Back-Black Spots-Black Spots, Tan Trim-Saddle-Back-Tan Spots-White Markings, Tan Trim","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Treeing Walker is overall quite a healthy breed, and responsible breeders screen their stock for health conditions such as hip dysplasia and eye anomalies. Be sure to always check the dog's ears when he comes in from outside, as ticks love to burrow beneath the coonhound's floppy ears. Removing excess ear wax and debris and checking the ears at least weekly will help you to avoid common ear infections.","The Treeing Walker is a very low-maintenance breed. His short, smooth coat repels dirt and mud, and he will require only the occasional bath to maintain his handsome appearance. Wiping him down with a damp towel or a hound glove will keep his coat shining. His nails should be trimmed every couple of weeks, as long nails can cause the dog discomfort and structural problems. A hound's ears should be cleaned regularly to keep them free of excess wax or debris and to check for any signs of ear infection. The Treeing Walker will look forward to grooming sessions as bonding experiences with the human he loves.","Like most coonhounds, the Treeing Walker is a high-energy breed who delights in stretching his legs in a good, long run. He is an excellent candidate for someone who wants a running or hiking companion. While most coonhounds can quite happily become couch potatoes, most will still appreciate long daily walks at a minimum. Romps in the backyard, chasing a ball, or playing with human or canine friends will help to keep him mentally and physically healthy. The Treeing Walker has a very high prey drive and should be on a leash for walks and hikes, as he may be unable to resist the instinct to pursue an interesting scent.","The Treeing Walker Coonhound is very intelligent and eager to learn. These hounds love to please their people, but they also have a stubborn, independent streak. This can make them seem difficult to a trainer who doesn't understand the coonhound brain. Keeping training lessons fun and entertaining and praising good behavior and jobs well done with treats as well as effusive praise will result in a hound who is a joy to live with."
268,vizsla,~22-24 inches (male)~21-23 inches (female),~55-60 pounds (male)~44-55 pounds (female),12-14 years,5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5,32 of 1,Golden-Golden Rust-Red-Red Golden-Rust-Rust Golden-Sandy Yellow,White Markings,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Vizslas are generally a healthy breed. A typical lifespan is about 12 to 15 years. As in all breeds'¿and in mixed breeds'¿cancers are a concern. Responsible breeders screen their stock for health conditions such as such as seasonal allergies; eye disorders, including melanosis or entropion; hip dysplasia; epilepsy; and ear infections. Careful breeders do their homework ahead of time for the best odds of producing sound, healthy pups.","Vizslas have a short, sleek coat with no undercoat, so they don't require complicated grooming. They do shed, and occasional brushing with a rubber grooming brush is helpful. When they get especially dirty (or when they roll in something smelly), they will need a bath with lukewarm water, a good-quality dog soap, and thorough rinsing. It is important to keep the toenails short, either with a clipper or with a grinding tool. Ears should be checked frequently for dirt, wax build-up, or signs of irritation. Regular use of a mild ear-cleaning product will help prevent problems. To keep teeth and gums healthy, regular cleaning is recommended; use a product formulated for dogs (not human toothpaste).","Vizslas were bred to be active hunting dogs, and they need both physical and mental exercise. Individual dogs' needs vary, but, in general, owners should plan on a minimum of 30 minutes of active exercise daily'¿and some dogs will need more than that. In addition to leash walks and games of fetch, most Vizslas need opportunities to run hard off-leash on a regular basis. Mental exercise is as important as physical activity, so training should be part of their routine. Vizslas can be excellent running or jogging companions, with the caveat that young dogs should not run long distances until they reach maturity at about 18 to 24 months. Older Vizslas typically remain active and playful.","Vizslas need consistent, positive training, starting in puppyhood. They are highly intelligent, curious, and sometimes manipulative, so owners need to establish solid communication and teach good behavior. Untrained Vizslas are hard to live with. They can find many creative ways get into trouble if they don't have a 'job.' Fortunately, they typically love training and thrive on the attention they receive. This is a sensitive breed, so early and ongoing socialization is important to make sure the dog has the confidence to enjoy various activities. With good socialization and consistent training, there are countless ways to have fun with these versatile dogs, including field trials, hunting tests, conformation, obedience, rally, agility, dock diving, barn hunts, lure coursing, scent work, and tracking."
269,volpino-italiano,~10.5-12 inches,~10-16 pounds (males)~8-12 pounds (females),12-15 years,5,3,3,2,1,1,,Long,1,3,3,1,3,3,1,5,,Red-White,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
",Volpini born in America have parents tested for PLL CLEAR (Primary Lens Luxation) through OFA.org. Dogs are not tested in Italy. Keep anal glands expelled.,"The Volpino Italiano¿s fluffy, white, double coat ¿ a short, dense undercoat below the longer outer coat ¿ is surprisingly easy to keep clean. A thorough brushing two or three times a week will remove dead hairs before they can be shed, as well as help to prevent matting. It is OK to bathe a Volpino occasionally, but doing so more than once every few months can make his skin dry and irritated. As with all breeds, the Volpino¿s nails should be trimmed regularly.","An active dog with lots of energy, the Volpino is also quick and curious, requiring lots of exercise and mental challenges. A Volpino who is left alone or who doesn¿t get enough exercise can quickly become destructive. A securely fenced yard and an assortment of toys will help provide good exercise and stimulation to keep a Volpino out of trouble. They shouldn¿t just be left out in the yard by themselves all day, however. Despite their warm coat, the Volpino is an indoor dog. They form strong bonds with their people and are happiest interacting with them.","Volpini will do anything for a treat and will stay focused for 10 to 15 minutes. Training early is always good, but even the older dogs learn new tricks."
270,weimaraner,~25-27 inches (male)~23-25 inches (female),~70-90 pounds (male)~55-75 pounds (female),10-13 years,5,5,3,3,2,2,Smooth,Short,3,5,5,4,5,5,3,5,40 of 1,Blue-Gray-Silver Gray,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Being a very active breed, Weimaraners get more than their share of accidental cuts, scrapes, sprains, and pulls. They love to chew, and that makes for mouth and gum injury. Be careful of them ingesting things that should not go down a dog' s throat. The most serious health issue in the breed is gastric torsion. This is a life-threatening condition where the stomach gets overstretched and twists shut. Discuss the symptoms with your vet so you can recognize them, and seek immediate veterinary care should it ever occur.","The biggest job in grooming the Weimaraner is keeping the nails short. This is important for the comfort and health of your dog and cannot be overemphasized. When nail length gets out of hand, it's difficult to get it back to a proper length. (If you can hear a tap-tap-tap when they cross a hardwood floor, the nails are too long.) The short coat should be brushed to remove 'dead hair.' Don't forget to clean the ears clean the ears, since having an ear structure that impedes air-flow makes for the potential of infected ears.","Weimaraners have high exercise requirements. They need consistent exercise for their physical and mental well-being. They love a good run. While walking is OK, stretching their legs and getting ""up a full head of steam"" is far better. A tired Weimaraner is a good Weimaraner.","As one longtime breeder says, 'The good news is that Weimaraners are smart; the bad news is that Weimaraners are smart.' They learn quickly, and that includes both good and bad behaviors. Get to a training class and be consistent with your training methods. Weimaraners operate on the principle of 'What's in it for me?' Be creative in your training by making what you want what they want. Early socialization and puppy training are vital and help to ensure that the Weimaraner grows into a well-adjusted, well-mannered companion."
271,welsh-springer-spaniel,~18-19 inches (male)~17-18 inches (female),~40-55 pounds (male)~35-50 pounds (female),12-15 years,5,5,4,3,2,2,Double,Medium,1,3,3,4,5,4,3,4,126 of 1,Red & White,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Welsh Springer Spaniels are generally healthy dogs, and responsible breeders test their stock for health conditions such as hip and elbow dysplasia, autoimmune thyroiditis, and eye disease. A Welshie's ears should be checked regularly for signs of infection, and the teeth should be brushed often, using a toothpaste formulated for dogs. Regular visits to the vet for checkups and parasite control help to ensure the dog a long, healthy life.","To keep his attractive red-and-white coat looking its best, the Welsh Springer Spaniel needs at least weekly grooming. A good once-over with a soft brush should work well for this, along with a slicker brush or metal dog comb to work apart any mats or tangles that are starting to form. The nails should be trimmed every three to four weeks, and a bath every month or so with a gentle shampoo meant for dogs will help to keep the coat and skin clean and healthy.","Welsh Springer Spaniels are active, energetic dogs who are happiest when they have plenty of exercise as well as lots of time with their people. Play sessions with their family in a securely fenced yard or long daily walks with their owner work well. Interaction with their humans is the key to a happy Welshie. The breed is an excellent choice for those with an active lifestyle, as well as those looking for a loving family companion. Given the opportunity, these lovely spaniels will steal your heart.","The Welsh Springer tends to be ""reserved with strangers,"" to quote the breed standard. This should not be taken to mean a Welshie is timid or shy. Early socialization and puppy training classes are essential. Keep in mind that Welshies are hunting dogs, and the urge to chase birds and small mammals has been bred into them. Most puppies learn quickly to respect your pet cat or another dog, however. A securely fenced yard is best. The Welshie excels as a hunting companion and at canine sports such as obedience, tracking, agility, and rally."
272,welsh-terrier,~15 inches (male),~20 pounds (male),12-15 years,5,5,3,2,3,2,Wiry-Double,Medium,5,4,4,4,4,4,4,4,109 of 1,Black & Tan-Black Grizzle & Tan-Grizzle & Tan,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Welsh puppies are generally hardy, thrive with regular care, and don't seem to be as fragile as many other puppies. Welsh who reach 15 to 18 years of age are not uncommon, but the average lifespan seems to be 12 to 14. Responsible breeders screen their stock for health conditions such as allergy problems, hip dysplasia and Legge-Calve-Perthes disease.","Care of the Welsh Terrier's coat is similar to that for other broken-coated terriers. The hair can be plucked by hand, commonly referred to as hand-stripping. This type of grooming is a continual process and an art that takes years to master. Pet grooming for a Welsh Terrier is not complicated. The dog should be clipped every 8 to 12 weeks, leaving the coat longer in cold weather. The nails should be trimmed at least weekly, and the dog brushed once or twice a week. Usually bathing between clippings is not necessary, but if it is, use a good shampoo that contains moisturizers.","Welsh Terriers are high-energy dogs. They enjoy getting exercise by doing activities with their owner such as playing ball or catching a flying disc in a fenced yard. They should have lots of running time in an enclosed area, as well as a long walk every day or so. Once the dog is an adult, and only if he is in good health, let him run and play until really tired out, but not exhausted.","Welsh Terriers are friendly and outgoing, but puppies need to be adequately socialized by their owners to encourage polite behavior around other dogs. All Welsh should be taught to be under control and tolerant of other dogs when walking on lead. Lots of exercise and attention help this energetic dog become the affectionate, well-behaved companion he was born to be."
273,west-highland-white-terrier,~11 inches (male)~10 inches (female),~15-20 pounds,13-15 years,5,5,3,3,3,1,Double,Medium,4,5,5,4,3,4,5,4,46 of 1,White,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","West Highland White Terriers are generally healthy dogs, and responsible breeders screen their stock for health conditions such as cardiac disease and patellar luxation. A Westie's teeth should be brushed often, using a toothpaste formulated for dogs. Regular visits to the vet for checkups and parasite control help to ensure the dog a long, healthy life.","To keep the Westie looking his best, regular grooming is a must. Stripping (or plucking) the old, dead hair is the traditional way of taking care of the terrier coat, and it is the grooming method that must be used if you're interested in showing your dog. Pet owners often have their dogs' coats clipped for neatness. Most people find a professional groomer who will help keep that beautiful Westie look. Usually a visit to the groomer every 4 to 6 weeks will work just fine. Daily brushing and combing are important. Because the Westie has a hard coat, bathing too often can do more harm than good.","Westies love to romp and play, and they enjoy a nice walk. Since by nature they will run after anything that moves, the breed does best in a fenced area or on a leash. With their intelligence, energy, and can-do attitude, Westies excel in a variety of canine sports and activities, including obedience, rally, and agility. True to the breed's original purpose, they have the instinct to go to ground and are superstars at earthdog events.","Smart, confident, adaptable, and endlessly entertaining at play, the adorable Westie has charmed owners for more than 300 years. Like all terriers, Westies were bred to work alone. This terrier independence can make training a challenge, but thanks to their keen intelligence Westies take to patient, consistent lessons that are kept upbeat and interesting. Despite their size, Westies are sturdy, no-nonsense dogs who require little pampering."
274,wetterhoun,~23 inches (male)~21.5 inches (female),~50-75 pounds,13 years,0,0,0,0,0,0,Curly,Medium,0,0,0,0,0,0,0,0,,Black-Black & White-Brown-Brown & White,,"Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Wetterhoun is a pretty healthy breed, even with its small population.  The NVSW currently has introduced an outcross program to help introduce more genetic variety into the breed.  There are recommended health tests from the parent club to reduce occurrences of health issues.","The Wetterhoun requires minimal grooming.  The coat is naturally oily and waterproof, therefore, frequent bathing is not necessary.",Daily exercise is good for the physical and mental well being of the Wetterhoun.,The Wetterhoun can be strong willed however they are never willfully disobedient. The breed can be sensitive therefore should not be harshly trained.
